,"SPDR S&P 500 ETF Trust - GJR-GARCH Volatility"
2011-08-30,0.3504415095276243
2011-08-31,0.33122155908092704
2011-09-01,0.3212483880115199
2011-09-02,0.35120647260550314
2011-09-06,0.3356509937420117
2011-09-07,0.31782651871736567
2011-09-08,0.30887272718710534
2011-09-09,0.34359146555175085
2011-09-12,0.32479859913491005
2011-09-13,0.30717193231153134
2011-09-14,0.2906966996716681
2011-09-15,0.27531660175151085
2011-09-16,0.2606860042273079
2011-09-19,0.2561776711581242
2011-09-20,0.24283524785335428
2011-09-21,0.3073578578790528
2011-09-22,0.36682680054761535
2011-09-23,0.3466324110639396
2011-09-26,0.3279861954412106
2011-09-27,0.3101933674339282
2011-09-28,0.3252948514809295
2011-09-29,0.30762322409076986
2011-09-30,0.33817299833073605
2011-10-03,0.3752799467064554
2011-10-04,0.35483836151126613
2011-10-05,0.3355538663165722
2011-10-06,0.31743383751578846
2011-10-07,0.30366269708345806
2011-10-10,0.28806086856773866
2011-10-11,0.27261790183331686
2011-10-12,0.2581888541358825
2011-10-13,0.244971175447235
2011-10-14,0.23246589427268682
2011-10-17,0.256604434879836
2011-10-18,0.24343401241404208
2011-10-19,0.2445614646668604
2011-10-20,0.23183711954732356
2011-10-21,0.22024030421337507
2011-10-24,0.20919361175714712
2011-10-25,0.2394920349406218
2011-10-26,0.2271652059625329
2011-10-27,0.21667482087220008
2011-10-28,0.20571334910501068
2011-10-31,0.2565307700842142
2011-11-01,0.3101048035745335
2011-11-02,0.29350235024612664
2011-11-03,0.27797355701577087
2011-11-04,0.266426600023346
2011-11-07,0.25235075589345873
2011-11-08,0.23926411933259029
2011-11-09,0.3421133969899454
2011-11-10,0.3234401273806328
2011-11-11,0.30607907801743
2011-11-14,0.29669306564191894
2011-11-15,0.28073837144216673
2011-11-16,0.28718353643619615
2011-11-17,0.2928129464350919
2011-11-18,0.2771725440948291
2011-11-21,0.2931687677771969
2011-11-22,0.27870482450076106
2011-11-23,0.304480551103022
2011-11-25,0.28831681324542974
2011-11-28,0.27348985282821736
2011-11-29,0.25895074126173107
2011-11-30,0.24670869867112508
2011-12-01,0.23383457229417556
2011-12-02,0.22185089046474435
2011-12-05,0.21066865547584435
2011-12-06,0.20008877329825378
2011-12-07,0.19021357049380047
2011-12-08,0.23571682502528327
2011-12-09,0.22380089275961346
2011-12-12,0.23480983710228157
2011-12-13,0.23166683750593223
2011-12-14,0.23151673114485705
2011-12-15,0.21961232752284193
2011-12-16,0.20845779716767612
2011-12-19,0.21113143205122253
2011-12-20,0.20145851285066116
2011-12-21,0.19148236472322977
2011-12-22,0.1822493061715188
2011-12-23,0.1736386731117236
2011-12-27,0.1655145649180156
2011-12-28,0.18174654659717748
2011-12-29,0.17320222977779473
2011-12-30,0.16847595080604233
2012-01-03,0.16103379645279434
2012-01-04,0.15378153686317483
2012-01-05,0.14704664688458557
2012-01-06,0.14187176547854757
2012-01-09,0.13599455650870737
2012-01-10,0.13066401830649477
2012-01-11,0.12561442003209666
2012-01-12,0.12096201039995987
2012-01-13,0.12189291283745746
2012-01-17,0.1175479920713238
2012-01-18,0.11374680303199736
2012-01-19,0.11008132811698813
2012-01-20,0.10669238904439247
2012-01-23,0.10503572992082266
2012-01-24,0.10234339666045877
2012-01-25,0.09973369761519925
2012-01-26,0.10332426820452202
2012-01-27,0.1005305774379119
2012-01-30,0.1006578748037132
2012-01-31,0.09808147898558627
2012-02-01,0.09586880660569422
2012-02-02,0.0936934648734905
2012-02-03,0.09215919530898693
2012-02-06,0.09043547047480872
2012-02-07,0.08877482683734167
2012-02-08,0.08727916452395727
2012-02-09,0.08591099743339033
2012-02-10,0.0985681289261392
2012-02-13,0.0962646439769036
2012-02-14,0.09443493760256319
2012-02-15,0.09769888453815632
2012-02-16,0.0956212811041559
2012-02-17,0.09347869447098628
2012-02-21,0.09151779761336043
2012-02-22,0.09240377719552377
2012-02-23,0.09058786210083557
2012-02-24,0.08890904993306363
2012-02-27,0.08738590000680889
2012-02-28,0.08602436678058142
2012-02-29,0.0888991858230434
2012-03-01,0.08743483813675187
2012-03-02,0.08851624732217245
2012-03-05,0.09136264050474897
2012-03-06,0.1345076662499205
2012-03-07,0.12924652490492733
2012-03-08,0.12447149890637615
2012-03-09,0.11992406397383305
2012-03-12,0.11570781667631622
2012-03-13,0.1124326182208704
2012-03-14,0.10906410775319257
2012-03-15,0.10579927788033339
2012-03-16,0.10274767092250801
2012-03-19,0.09998739960615037
2012-03-20,0.0994367565842732
2012-03-21,0.09757267260867666
2012-03-22,0.10721104831126316
2012-03-23,0.1040567996817123
2012-03-26,0.10155674689551651
2012-03-27,0.10111450934460398
2012-03-28,0.1041184392891096
2012-03-29,0.10187253152837618
2012-03-30,0.09919252008090126
2012-04-02,0.09682851232978848
2012-04-03,0.09857501874207278
2012-04-04,0.11769313454913162
2012-04-05,0.11370504527064751
2012-04-09,0.13421269761091906
2012-04-10,0.17292746340590323
2012-04-11,0.164934761648356
2012-04-12,0.1576343267185165
2012-04-13,0.17121162694163033
2012-04-16,0.16331481990315513
2012-04-17,0.15619391255743612
2012-04-18,0.15105005064547314
2012-04-19,0.15101486999630204
2012-04-20,0.14447104332702798
2012-04-23,0.14986852918474913
2012-04-24,0.14342388127505126
2012-04-25,0.13770898140644278
2012-04-26,0.13220700541196748
2012-04-27,0.1270444412007074
2012-04-30,0.1248632017849935
2012-05-01,0.12032676959014567
2012-05-02,0.11784854449673954
2012-05-03,0.1251546039105234
2012-05-04,0.16379353833408694
2012-05-07,0.15634647984524627
2012-05-08,0.1519047326451681
2012-05-09,0.1508473804876969
2012-05-10,0.1443176471537698
2012-05-11,0.13977144043043987
2012-05-14,0.1539432313549381
2012-05-15,0.15232640427713115
2012-05-16,0.1479986251287491
2012-05-17,0.1744122289290519
2012-05-18,0.1762349227593669
2012-05-21,0.16829950802067128
2012-05-22,0.1605441808350586
2012-05-23,0.15332318454819546
2012-05-24,0.14661626199027175
2012-05-25,0.14211821065577768
2012-05-29,0.13643921107951337
2012-05-30,0.16450846786715875
2012-05-31,0.15772652509961665
2012-06-01,0.22987526182693085
2012-06-04,0.21808633244657952
2012-06-05,0.20708586045406385
2012-06-06,0.19726961651506295
2012-06-07,0.18756454888917573
2012-06-08,0.17857607790518862
2012-06-11,0.1910743499269329
2012-06-12,0.18193003270488356
2012-06-13,0.17866644004960755
2012-06-14,0.17033879534621585
2012-06-15,0.16257317490902368
2012-06-18,0.15521530104986428
2012-06-19,0.1485011296926727
2012-06-20,0.14256541025087396
2012-06-21,0.2062713785283843
2012-06-22,0.19604053152345816
2012-06-25,0.21646490801051332
2012-06-26,0.20553644348387465
2012-06-27,0.1953771460534727
2012-06-28,0.18681328325362734
2012-06-29,0.17852124579444317
2012-07-02,0.17007636872887424
2012-07-03,0.16225137164289244
2012-07-05,0.15793982588315084
2012-07-06,0.16431020540429012
2012-07-09,0.15705772301927723
2012-07-10,0.16150772984597364
2012-07-11,0.1542190587443718
2012-07-12,0.15110529534069944
2012-07-13,0.14495596310604128
2012-07-16,0.13977116097392908
2012-07-17,0.13411346643793828
2012-07-18,0.12889224522833018
2012-07-19,0.12398903241819416
2012-07-20,0.13487416668880664
2012-07-23,0.14684108553126404
2012-07-24,0.15235039035066503
2012-07-25,0.14570721245017354
2012-07-26,0.13994708099849743
2012-07-27,0.13472818368849185
2012-07-30,0.1293712787290904
2012-07-31,0.13328124684290735
2012-08-01,0.1281716553688841
2012-08-02,0.13202479948858092
2012-08-03,0.12751403358062202
2012-08-06,0.1227113114590501
2012-08-07,0.11831996044624087
2012-08-08,0.1142341983820957
2012-08-09,0.11047698348524909
2012-08-10,0.10703287308112401
2012-08-13,0.10392607603484315
2012-08-14,0.10103134701665617
2012-08-15,0.09839144962851192
2012-08-16,0.09610207323466025
2012-08-17,0.09390390662799926
2012-08-20,0.09190320081477031
2012-08-21,0.09240950405667157
2012-08-22,0.09054808711397497
2012-08-23,0.10497706549527853
2012-08-24,0.10206716024265593
2012-08-27,0.09933383713518773
2012-08-28,0.09707289467199379
2012-08-29,0.0947840796758612
2012-08-30,0.10497771363484727
2012-08-31,0.10203949176666846
2012-09-04,0.09950413277849318
2012-09-05,0.09717066223917588
2012-09-06,0.09576956531174192
2012-09-07,0.09363179844475913
2012-09-10,0.09953920252845107
2012-09-11,0.09704524346921904
2012-09-12,0.09478244457704181
2012-09-13,0.09322172793935972
2012-09-14,0.09132963221211395
2012-09-17,0.0925081004020729
2012-09-18,0.09080937264401731
2012-09-19,0.08909879191100181
2012-09-20,0.08755063814730309
2012-09-21,0.08619939628558893
2012-09-24,0.08555078491749799
2012-09-25,0.1114547829390915
2012-09-26,0.11454589927186394
2012-09-27,0.11093004552419512
2012-09-28,0.11200013749991561
2012-10-01,0.10843820433777018
2012-10-02,0.10516143190352631
2012-10-03,0.10219477520891174
2012-10-04,0.09955902349862619
2012-10-05,0.09704637303887252
2012-10-08,0.09759498450227859
2012-10-09,0.11684693526147788
2012-10-10,0.12099428680727037
2012-10-11,0.11669385176606349
2012-10-12,0.11493662236206525
2012-10-15,0.11125203494768085
2012-10-16,0.10793814395291407
2012-10-17,0.10474270475789711
2012-10-18,0.10331406080490689
2012-10-19,0.15227207426182912
2012-10-22,0.1456344343896731
2012-10-23,0.16881902854832448
2012-10-24,0.16217851275677678
2012-10-25,0.15485458340004019
2012-10-26,0.14808499586386192
2012-10-31,0.1417472844184325
2012-11-01,0.1360392161106495
2012-11-02,0.14403573556586574
2012-11-05,0.13799771867679553
2012-11-06,0.13249436199325615
2012-11-07,0.20146708118201345
2012-11-08,0.20844746100636488
2012-11-09,0.1980123268890096
2012-11-12,0.1882587464103594
2012-11-13,0.18070266849164124
2012-11-14,0.19542093030174634
2012-11-15,0.186193496127013
2012-11-16,0.17725094752920226
2012-11-19,0.1693839000613695
2012-11-20,0.16155039832819973
2012-11-21,0.15426344920297874
2012-11-23,0.1477469366179888
2012-11-26,0.14216923338050325
2012-11-27,0.1406475932250531
2012-11-28,0.1349523182461124
2012-11-29,0.1296139325844255
2012-11-30,0.1246439225955281
2012-12-03,0.124659216265786
2012-12-04,0.12046039531729921
2012-12-05,0.11620736121261853
2012-12-06,0.1123102079064944
2012-12-07,0.1087270643400253
2012-12-10,0.10542419513565186
2012-12-11,0.10249589630809616
2012-12-12,0.09972559912078743
2012-12-13,0.10583473796443209
2012-12-14,0.10586085508817697
2012-12-17,0.1030814441109553
2012-12-18,0.10051825625228483
2012-12-19,0.11031956091283178
2012-12-20,0.10694846927375819
2012-12-21,0.12072195326451607
2012-12-24,0.11832264398668584
2012-12-26,0.1177959724269043
2012-12-27,0.11411394147955806
2012-12-28,0.13288381662188967
2012-12-31,0.12813630960816688
2013-01-02,0.1243747683414928
2013-01-03,0.12079217524326648
2013-01-04,0.11654199431964428
2013-01-07,0.11412012460561022
2013-01-08,0.1121017013251806
2013-01-09,0.10853040090223569
2013-01-10,0.10536978883911649
2013-01-11,0.10235201434265961
2013-01-14,0.09969950511411779
2013-01-15,0.09717538206768214
2013-01-16,0.09488043423172135
2013-01-17,0.09288453864879774
2013-01-18,0.09098991790302924
2013-01-22,0.08933028624156536
2013-01-23,0.08776610416328164
2013-01-24,0.08634684614970022
2013-01-25,0.08514441426188801
2013-01-28,0.08438236474524757
