,"美国iShares安硕MSCI英国指数ETF - 指数GARCH模型波动率预测"
1998-12-14,0.24067795744521353
1998-12-15,0.23626718604156607
1998-12-16,0.23361780325993994
1998-12-17,0.229661065050217
1998-12-18,0.22378473406378732
1998-12-21,0.2182621295598483
1998-12-22,0.20684989340098778
1998-12-23,0.20089125416503328
1998-12-24,0.20648335526138664
1998-12-28,0.20479837889983407
1998-12-29,0.19902784126850193
1998-12-30,0.22495090664409426
1998-12-31,0.22186190840250158
1999-01-04,0.20935364529904896
1999-01-05,0.20156137129916535
1999-01-06,0.21423793781681152
1999-01-07,0.2363046736736284
1999-01-08,0.2327890899505387
1999-01-11,0.2604370618786812
1999-01-12,0.2611796554098347
1999-01-13,0.2620325918659738
1999-01-14,0.2689944609095139
1999-01-15,0.27462806848536075
1999-01-19,0.2579625112298297
1999-01-20,0.2424144426390474
1999-01-21,0.24446128773284334
1999-01-22,0.2795444043439253
1999-01-25,0.2713879791000331
1999-01-26,0.2530552406096345
1999-01-27,0.2875344925395908
1999-01-28,0.26952151602423136
1999-01-29,0.26196064589934115
1999-02-01,0.24442840178669908
1999-02-02,0.23034162541755232
1999-02-03,0.2472452434325077
1999-02-04,0.23095063108811803
1999-02-05,0.2686250524429916
1999-02-08,0.25253188867942994
1999-02-09,0.2684735048380007
1999-02-10,0.2622535963528432
1999-02-11,0.2615233511562591
1999-02-12,0.25121487694800243
1999-02-16,0.2455086947543814
1999-02-17,0.22935917247845136
1999-02-18,0.21621924706186543
1999-02-19,0.21482802051873962
1999-02-22,0.20828043979212257
1999-02-23,0.19881418963444233
1999-02-24,0.1897928702559714
1999-02-25,0.2219919241774349
1999-02-26,0.2128274850671313
1999-03-01,0.22995620539572312
1999-03-02,0.21509624264500765
1999-03-03,0.20313534109061376
1999-03-04,0.19243675324635884
1999-03-05,0.1876898590760833
1999-03-08,0.1762379255438511
1999-03-09,0.17609552294138542
1999-03-10,0.17077702304467074
1999-03-11,0.1853460795377124
1999-03-12,0.24407632740599816
1999-03-15,0.27046369516073687
1999-03-16,0.25738002020358924
1999-03-17,0.2765380277647181
1999-03-18,0.26320891474264313
1999-03-19,0.2558086683441357
1999-03-22,0.2387956582519875
1999-03-23,0.26527618362755445
1999-03-24,0.2595779605436486
1999-03-25,0.24921126940810684
1999-03-26,0.23439048188866374
1999-03-29,0.22965272565332204
1999-03-30,0.2180405118320905
1999-03-31,0.22738363793377922
1999-04-01,0.21623200873136245
1999-04-05,0.20927532964972245
1999-04-06,0.20787787761087034
1999-04-07,0.2051488269525322
1999-04-08,0.1973417147994818
1999-04-09,0.21501960840816356
1999-04-12,0.2064381331052962
1999-04-13,0.198512545699258
1999-04-14,0.189327782430366
1999-04-15,0.1777466455379679
1999-04-16,0.17763283480257808
1999-04-19,0.16853098587500165
1999-04-20,0.18163232862021012
1999-04-21,0.19384880190498988
1999-04-22,0.19549564394123978
1999-04-23,0.18861500788643518
1999-04-26,0.1836357416191086
1999-04-27,0.18408475222027487
1999-04-28,0.18413108482817342
1999-04-29,0.20111579351209594
1999-04-30,0.20534932286228752
1999-05-03,0.20407332799756073
1999-05-04,0.19639833095013817
1999-05-05,0.20661975510584654
1999-05-06,0.1936600175565416
1999-05-07,0.21727527701052413
1999-05-10,0.24562634793523275
1999-05-11,0.24300921464010372
1999-05-12,0.28131553956367217
1999-05-13,0.28251544594942063
1999-05-14,0.3299374304318926
1999-05-17,0.3349944327895614
1999-05-18,0.3164710849351011
1999-05-19,0.3026441098055602
1999-05-20,0.2883046638540556
1999-05-21,0.27913348419707734
1999-05-24,0.3019857162184993
1999-05-25,0.2863972402101668
1999-05-26,0.27303438245026945
1999-05-27,0.2781379585745175
1999-05-28,0.26448940545889543
1999-06-01,0.257209209010875
1999-06-02,0.24492102155592935
1999-06-03,0.2339165158769256
1999-06-04,0.22378794337497274
1999-06-07,0.21100618948267844
1999-06-08,0.21486989365660328
1999-06-09,0.20630063596605805
1999-06-10,0.22836498943577144
1999-06-11,0.22360048747710728
1999-06-14,0.22638000000000003
1999-06-15,0.2170846931499317
1999-06-16,0.2083478811987297
1999-06-17,0.21825612568723013
