,"美国iShares安硕MSCI德国指数ETF - 指数GARCH模型波动率预测"
2012-04-09,0.30536694516597573
2012-04-10,0.3236083354921502
2012-04-11,0.31344464008816614
2012-04-12,0.3047359361808187
2012-04-13,0.351854411369248
2012-04-16,0.3365473541717421
2012-04-17,0.32691493756021606
2012-04-18,0.32159151481343534
2012-04-19,0.3177969030686108
2012-04-20,0.30500271605348045
2012-04-23,0.34152265107895846
2012-04-24,0.3217895877743716
2012-04-25,0.3140662560670917
2012-04-26,0.30017703776271765
2012-04-27,0.2848187107617756
2012-04-30,0.2772943021412449
2012-05-01,0.2627993972595828
2012-05-02,0.27218370267155967
2012-05-03,0.27588899071909345
2012-05-04,0.3070361692048675
2012-05-07,0.2899317961176387
2012-05-08,0.3009319364906291
2012-05-09,0.29967623329186455
2012-05-10,0.2829788098073776
2012-05-11,0.266011994466415
2012-05-14,0.29333118211332393
2012-05-15,0.30631420926884867
2012-05-16,0.29366196280757917
2012-05-17,0.3054520152167931
2012-05-18,0.28666631821684246
2012-05-21,0.28286208229453447
2012-05-22,0.27567238164168717
2012-05-23,0.2736460816456176
2012-05-24,0.2895031087915983
2012-05-25,0.27150523088883577
2012-05-29,0.2640017045399518
2012-05-30,0.3105725248633562
2012-05-31,0.2923704266850531
2012-06-01,0.3427327938788467
2012-06-04,0.3205539573925114
2012-06-05,0.3062418044617684
2012-06-06,0.3060722855797304
2012-06-07,0.29000683922969817
2012-06-08,0.2722582692959022
2012-06-11,0.27735086803541825
2012-06-12,0.2700310248841788
2012-06-13,0.26639713511973057
2012-06-14,0.253254676560967
2012-06-15,0.2507770826850014
2012-06-18,0.2513063954617948
2012-06-19,0.2518247890895573
2012-06-20,0.23911825526295563
2012-06-21,0.27985550771782214
2012-06-22,0.26383661307710876
2012-06-25,0.3031769602064115
2012-06-26,0.28495581762792627
2012-06-27,0.2719036292512478
2012-06-28,0.27141453461448967
2012-06-29,0.288527335966629
2012-07-02,0.2752284890777116
2012-07-03,0.26417155789372937
2012-07-05,0.2931962298529775
2012-07-06,0.3183005089534103
2012-07-09,0.2994213299015286
2012-07-10,0.28867158571636387
2012-07-11,0.27432849068224757
2012-07-12,0.26753076907152196
2012-07-13,0.26376181528037757
2012-07-16,0.24811820247615854
2012-07-17,0.23873417937111563
2012-07-18,0.23066801598834633
2012-07-19,0.22398896847836056
2012-07-20,0.27007884848688174
2012-07-23,0.3189411055351756
2012-07-24,0.3244267467395375
2012-07-25,0.31118692131900405
2012-07-26,0.3116193389377495
2012-07-27,0.3109446150040229
2012-07-30,0.3031783316795579
2012-07-31,0.2840011570398966
2012-08-01,0.2767652955122806
2012-08-02,0.3099980464454575
2012-08-03,0.3236213787746416
2012-08-06,0.3071836226103208
2012-08-07,0.29073128624212424
2012-08-08,0.27999823999446855
2012-08-09,0.27099528556784896
2012-08-10,0.25554225404030545
2012-08-13,0.2455425649454693
2012-08-14,0.2328625276853277
2012-08-15,0.22863215521881433
2012-08-16,0.22333339562188187
2012-08-17,0.2135740855066457
2012-08-20,0.2012796204288949
2012-08-21,0.19654217867928503
2012-08-22,0.1868986516805298
2012-08-23,0.19688901950083457
