,"iShares MSCI United Kingdom ETF - GARCH Volatility"
2020-11-13,0.31782223710747487
2020-11-16,0.3090331671520065
2020-11-17,0.2945188421816166
2020-11-18,0.28076803664235
2020-11-19,0.26952282500745645
2020-11-20,0.2557355626423513
2020-11-23,0.24291633374476898
2020-11-24,0.24917992053935645
2020-11-25,0.2392951875821994
2020-11-27,0.22738618691556445
2020-11-30,0.24612609207477373
2020-12-01,0.2742312389207327
2020-12-02,0.26057800367644235
2020-12-03,0.25468197816099986
2020-12-04,0.24722603018290773
2020-12-07,0.23968115069817233
2020-12-08,0.22873419683116908
2020-12-09,0.21817996608304807
2020-12-10,0.2081887691495389
2020-12-11,0.20573619419052158
2020-12-14,0.19621354081714137
2020-12-15,0.20007630444407956
2020-12-16,0.19516834271981714
2020-12-17,0.18645378194072654
2020-12-18,0.18674103351968468
2020-12-21,0.19731540740651757
2020-12-22,0.18827848947768835
2020-12-23,0.20248194586184717
2020-12-24,0.19309608074738335
2020-12-28,0.18416967502821954
2020-12-29,0.1823377097585686
2020-12-30,0.1742693467021668
2020-12-31,0.1754910151546227
2021-01-04,0.17996896732492523
2021-01-05,0.18788149030705498
2021-01-06,0.23195779616128448
2021-01-07,0.22044553613080944
2021-01-08,0.21228971713203634
2021-01-11,0.2209177756542013
2021-01-12,0.21186670337738303
2021-01-13,0.20305146244240646
2021-01-14,0.20271392256083448
2021-01-15,0.21230591984209957
2021-01-19,0.2034759592679194
2021-01-20,0.19638736008205826
2021-01-21,0.18714610762716924
2021-01-22,0.18485296968131187
2021-01-25,0.17693860630173394
2021-01-26,0.1693117290680123
2021-01-27,0.20023827606129654
2021-01-28,0.19145123765596292
2021-01-29,0.22254344564601314
2021-02-01,0.2206303614645999
2021-02-02,0.21197681571341712
2021-02-03,0.20188910520382222
2021-02-04,0.19252636910304002
2021-02-05,0.18497378192598
2021-02-08,0.17819211093648338
2021-02-09,0.1739455673479494
2021-02-10,0.16697167783788963
2021-02-11,0.15978321063240658
2021-02-12,0.16824117688604062
2021-02-16,0.20181082726157187
2021-02-17,0.19314599245130612
2021-02-18,0.18629233800669312
2021-02-19,0.17774515689604597
2021-02-22,0.16988438186013452
2021-02-23,0.17110215895774084
2021-02-24,0.16890498749296895
2021-02-25,0.1896952545531912
2021-02-26,0.2075590537654284
2021-03-01,0.21353408252548348
2021-03-02,0.20543299929660766
2021-03-03,0.19568870994515755
2021-03-04,0.18976498517903664
2021-03-05,0.19181956834483807
2021-03-08,0.1832825883710725
2021-03-09,0.17895020871739714
2021-03-10,0.1724396137782731
2021-03-11,0.1650068616755073
2021-03-12,0.16151022630161843
2021-03-15,0.15656387399397093
2021-03-16,0.15045910979399021
2021-03-17,0.14467972822755787
2021-03-18,0.14813256846487202
2021-03-19,0.14381874843009865
2021-03-22,0.13831406869874083
2021-03-23,0.15261830624142048
2021-03-24,0.14635455155204433
2021-03-25,0.14562028800960394
2021-03-26,0.15902200602432356
2021-03-29,0.1526201390380706
2021-03-30,0.14658909427375558
2021-03-31,0.14193010336077402
2021-04-01,0.14763293169208555
2021-04-05,0.15662220991928316
2021-04-06,0.15416288658428787
2021-04-07,0.14928622173529613
2021-04-08,0.14647730213244645
2021-04-09,0.1414196728888877
2021-04-12,0.13656412955091832
2021-04-13,0.13136583528452137
2021-04-14,0.1318119952052923
2021-04-15,0.13717744508482435
2021-04-16,0.13570994127181693
2021-04-19,0.134721328378249
2021-04-20,0.16093713555298542
2021-04-21,0.1586434572240532
2021-04-22,0.1631531844617199
2021-04-23,0.15906993556294666
2021-04-26,0.1547051709543026
2021-04-27,0.14822099486914803
2021-04-28,0.14449590610117644
2021-04-29,0.13901706341309328
2021-04-30,0.14265830322837855
2021-05-03,0.15427800361684746
2021-05-04,0.15646751177161347
2021-05-05,0.1683703916964025
2021-05-06,0.1655369445169265
2021-05-07,0.17214862648304805
2021-05-10,0.16452945268249086
2021-05-11,0.17434394626714173
2021-05-12,0.16717424562413916
2021-05-13,0.1599390346350759
2021-05-14,0.16928664802635793
2021-05-17,0.16291267354015157
2021-05-18,0.1573926113894804
2021-05-19,0.1574974079786712
2021-05-20,0.16299780489319482
2021-05-21,0.15709394857854964
2021-05-24,0.15181513205211133
2021-05-25,0.1493666348285319
2021-05-26,0.14327910803742464
2021-05-27,0.14038443118807725
2021-05-28,0.13555400193280906
2021-06-01,0.13543467355149494
2021-06-02,0.13238949354083956
2021-06-03,0.13427811660877584
2021-06-04,0.13246836905465392
2021-06-07,0.12758144551618783
2021-06-08,0.1233571940342354
2021-06-09,0.12374781161701405
2021-06-10,0.12114069836351447
2021-06-11,0.12151511165283106
2021-06-14,0.1175330380786611
2021-06-15,0.11411957255440454
2021-06-16,0.11527270362058835
2021-06-17,0.1196332340112897
2021-06-18,0.18186138567601426
2021-06-21,0.19588325809011856
2021-06-22,0.18667321071862453
2021-06-23,0.1780342865854777
2021-06-24,0.17143836443456872
2021-06-25,0.16423603502276837
2021-06-28,0.16760172791472053
2021-06-29,0.16040245634029426
2021-06-30,0.15426616090380937
2021-07-01,0.1511641457489176
2021-07-02,0.14623603194835397
2021-07-06,0.14384537948783757
2021-07-07,0.14199461116535372
2021-07-08,0.1581137083241045
2021-07-09,0.18028724081309805
2021-07-12,0.17212542287529753
2021-07-13,0.16557690056285027
2021-07-14,0.15891357651251828
2021-07-15,0.1626288904223355
2021-07-16,0.16174105972201372
2021-07-19,0.205563476327873
2021-07-20,0.19751154295382337
2021-07-21,0.2120983960335391
2021-07-22,0.20220988996584713
2021-07-23,0.19730397664517563
2021-07-26,0.1899615540050144
2021-07-27,0.18121207906759415
2021-07-28,0.17295667896904124
2021-07-29,0.17540691890572618
2021-07-30,0.17273105916423948
2021-08-02,0.16583748189115752
2021-08-03,0.16903078772815325
2021-08-04,0.16212963701926925
2021-08-05,0.15633588186977423
2021-08-06,0.15032880682024988
2021-08-09,0.14421289262753176
2021-08-10,0.14076955594161686
2021-08-11,0.14275914121344385
2021-08-12,0.13887944556340942
2021-08-13,0.13611566199376177
2021-08-16,0.13726701730568783
2021-08-17,0.13534067681225773
2021-08-18,0.13297688746545394
2021-08-19,0.14938956108108759
2021-08-20,0.14506679096195657
2021-08-23,0.14316841886393802
2021-08-24,0.13761782907748546
2021-08-25,0.1342375737265837
2021-08-26,0.13263235397141981
2021-08-27,0.134886796536948
2021-08-30,0.12984468291000598
2021-08-31,0.12769004565744346
2021-09-01,0.1267165027926513
2021-09-02,0.12696711842047922
2021-09-03,0.12256451444035504
2021-09-07,0.12765273064059382
2021-09-08,0.12637574973071375
2021-09-09,0.1271907732502637
2021-09-10,0.1227266611621126
2021-09-13,0.1258583303559999
2021-09-14,0.12858582627957096
2021-09-15,0.12919293432692053
2021-09-16,0.12513177869749953
2021-09-17,0.14594824315489377
2021-09-20,0.16063511695765656
2021-09-21,0.15890001762114442
2021-09-22,0.16236742776801016
2021-09-23,0.16571564440329706
2021-09-24,0.1644631192699445
2021-09-27,0.15938922924714832
2021-09-28,0.17793751375131667
2021-09-29,0.17012347986095275
2021-09-30,0.16276674107445907
2021-10-01,0.15718208714735915
2021-10-04,0.15079799892571522
2021-10-05,0.14841118920081464
2021-10-06,0.14589589932551222
2021-10-07,0.14267461554179847
2021-10-08,0.13889991187902173
2021-10-11,0.13354038535214732
2021-10-12,0.12927914031273569
2021-10-13,0.13578596009897342
2021-10-14,0.13545936246712517
2021-10-15,0.13667598194269542
2021-10-18,0.1350512222825103
2021-10-19,0.1359386210022744
2021-10-20,0.13098747024047758
2021-10-21,0.1278754622279036
2021-10-22,0.12336128987652488
2021-10-25,0.11918876087953932
2021-10-26,0.1193218447728663
2021-10-27,0.11838669013026759
2021-10-28,0.11754674865771492
2021-10-29,0.12143008655189208
2021-11-01,0.12133803426790793
2021-11-02,0.12336231126239489
2021-11-03,0.12146016383983681
2021-11-04,0.13139340805382896
2021-11-05,0.12827901917305107
2021-11-08,0.1244063213827979
2021-11-09,0.12084933479336987
2021-11-10,0.11953919725345324
2021-11-11,0.11865744932367289
2021-11-12,0.11490186578119609
2021-11-15,0.11144740050804236
2021-11-16,0.10882419179575836
2021-11-17,0.10581659264973522
2021-11-18,0.1035305780916923
2021-11-19,0.11369190208629636
2021-11-22,0.11028579418946033
2021-11-23,0.11341507677553281
2021-11-24,0.1112014318253142
2021-11-26,0.19139798745023417
2021-11-29,0.1864664184243372
2021-11-30,0.183377639858299
2021-12-01,0.17854008961574988
2021-12-02,0.1992634597712285
2021-12-03,0.1930315352474823
2021-12-06,0.19798120819916218
2021-12-07,0.19889041605869298
2021-12-08,0.18955684635485998
2021-12-09,0.18252501965484075
2021-12-10,0.1742627671076068
2021-12-13,0.17576034023635712
2021-12-14,0.16790157116596613
2021-12-15,0.16195981723872127
2021-12-16,0.15935428453606135
2021-12-17,0.15989648776630463
2021-12-20,0.1531760622290572
2021-12-21,0.16121459611337927
2021-12-22,0.1694905377889869
2021-12-23,0.16477402707951275
2021-12-27,0.16963915349942063
2021-12-28,0.16236929019984042
2021-12-29,0.1554112698616159
2021-12-30,0.15052589730674254
2021-12-31,0.14432685779161133
2022-01-03,0.15016261625318067
2022-01-04,0.14758641888737595
2022-01-05,0.14306593179370133
2022-01-06,0.13746896697073124
2022-01-07,0.14460199791150882
2022-01-10,0.13958605603712715
2022-01-11,0.14249600583876026
2022-01-12,0.14442026672181438
2022-01-13,0.13876828874061972
2022-01-14,0.1340290631169225
2022-01-18,0.1315689133496207
2022-01-19,0.129336309519021
2022-01-20,0.13503375577980492
2022-01-21,0.15043183200373517
2022-01-24,0.15048527741942067
2022-01-25,0.1467412236557948
2022-01-26,0.14174322206017473
2022-01-27,0.14360489044597333
2022-01-28,0.13809553649557252
2022-01-31,0.13459994190191912
2022-02-01,0.14143163804467515
2022-02-02,0.14299705227731094
2022-02-03,0.14628614384144523
2022-02-04,0.14098765222529241
2022-02-07,0.13821712571168596
2022-02-08,0.13464885398695378
2022-02-09,0.13519752749218458
2022-02-10,0.13160804762627548
2022-02-11,0.128847738978998
2022-02-14,0.1346868407826095
2022-02-15,0.14079394475615775
2022-02-16,0.1377123301669099
2022-02-17,0.14218205709582346
2022-02-18,0.1366410286846524
2022-02-22,0.13401956782500085
2022-02-23,0.12901683378536308
2022-02-24,0.21184172393558356
2022-02-25,0.2762591305278434
2022-02-28,0.28294443341405395
2022-03-01,0.27770417785838225
2022-03-02,0.28422259023518875
2022-03-03,0.3036710786360795
2022-03-04,0.358074535816218
2022-03-07,0.3535911130104941
2022-03-08,0.3405712048896677
2022-03-09,0.3564454516472331
2022-03-10,0.34400944928882404
2022-03-11,0.32743180297582575
2022-03-14,0.3115944306305875
2022-03-15,0.29762958119111754
2022-03-16,0.31138469326542045
2022-03-17,0.2982692032376122
2022-03-18,0.28539137968761424
2022-03-21,0.27063275189821356
2022-03-22,0.2641242866530831
2022-03-23,0.2547637446733738
2022-03-24,0.24422021046588263
2022-03-25,0.23327922839378568
2022-03-28,0.2266145352796241
