,"美国iShares安硕MSCI英国指数ETF - GJR-GARCH模型波动率预测"
1998-10-15,0.3422959877065462
1998-10-16,0.3639993846148644
1998-10-19,0.35170064429852843
1998-10-20,0.3597048590163886
1998-10-21,0.36321821044655783
1998-10-22,0.3474992863302024
1998-10-23,0.3309775122270394
1998-10-26,0.31493483325919985
1998-10-27,0.3011643504799331
1998-10-28,0.29311052591130193
1998-10-29,0.2818604143898181
1998-10-30,0.2712728132342052
1998-11-02,0.27295979703978385
1998-11-03,0.26304145756895436
1998-11-04,0.25141071098901097
1998-11-05,0.24671784045747483
1998-11-06,0.23597598776146697
1998-11-09,0.23280310822667294
1998-11-10,0.22405983575821883
1998-11-11,0.2176826874145025
1998-11-12,0.20884771868517024
1998-11-13,0.2143729301940896
1998-11-16,0.218797945145744
1998-11-17,0.21002393863557556
1998-11-18,0.20153267625871493
1998-11-19,0.19837406483711523
1998-11-20,0.19184840265167705
1998-11-23,0.21858886064939356
1998-11-24,0.2550883752741391
1998-11-25,0.2433420185664613
1998-11-27,0.2364001522842149
1998-11-30,0.3043918152644713
1998-12-01,0.31081074305757195
1998-12-02,0.29650181247338103
1998-12-03,0.2846550248985603
1998-12-04,0.27257828967105946
1998-12-07,0.26268559838712136
1998-12-08,0.25046296253138906
1998-12-09,0.24557807231102696
1998-12-10,0.2411588024518284
1998-12-11,0.23072902288182126
1998-12-14,0.22778381066265443
1998-12-15,0.22489836104338334
1998-12-16,0.21827159686958816
1998-12-17,0.2160615578949666
1998-12-18,0.2113529616541959
1998-12-21,0.2068783381603787
1998-12-22,0.19813465421273485
1998-12-23,0.19285090199426083
1998-12-24,0.19252375126201962
1998-12-28,0.1874831128395302
1998-12-29,0.18304856404790507
1998-12-30,0.20730770173826152
1998-12-31,0.20122884584472478
1999-01-04,0.19260233643442648
1999-01-05,0.18635455239945173
1999-01-06,0.21669406821599893
1999-01-07,0.23178733097389081
1999-01-08,0.2242132484934822
1999-01-11,0.24753820068829782
1999-01-12,0.24253546709708254
1999-01-13,0.23807221257425235
1999-01-14,0.23901737844767693
1999-01-15,0.256945227626434
1999-01-19,0.2450876985897089
1999-01-20,0.2338547780140487
1999-01-21,0.22980459786522986
1999-01-22,0.2641249068149386
1999-01-25,0.25773191187743905
1999-01-26,0.24562101294473973
1999-01-27,0.2770861129685138
1999-01-28,0.2640318662586014
1999-01-29,0.25735084145966963
1999-02-01,0.2452616088995585
1999-02-02,0.23408591499703693
1999-02-03,0.2424968123501833
1999-02-04,0.23125584014247078
1999-02-05,0.2668414113289015
1999-02-08,0.25442815174425965
1999-02-09,0.2614382045531984
1999-02-10,0.25185585877640404
1999-02-11,0.25465362828752314
1999-02-12,0.24551516124264097
1999-02-16,0.24062518072720487
1999-02-17,0.22949174887128299
1999-02-18,0.219172863283756
1999-02-19,0.2127307255663836
1999-02-22,0.20641176419962115
1999-02-23,0.1981589452939231
1999-02-24,0.19028311117910598
1999-02-25,0.2205296551486897
1999-02-26,0.21215066721554285
1999-03-01,0.22197824487998818
1999-03-02,0.21192586911465058
1999-03-03,0.20265206734696786
1999-03-04,0.1940120109683934
1999-03-05,0.1890849808948347
1999-03-08,0.18099333910395707
1999-03-09,0.18111401271022626
1999-03-10,0.17554528646477527
1999-03-11,0.20606743847585432
1999-03-12,0.2713687107976894
1999-03-15,0.28672635246869094
1999-03-16,0.2742876555734873
1999-03-17,0.2826645913445828
1999-03-18,0.26969877864017106
1999-03-19,0.26218810270490917
1999-03-22,0.2498244591708346
1999-03-23,0.26799883731091073
1999-03-24,0.2580877176465397
1999-03-25,0.24855114966541597
1999-03-26,0.2371161057372527
1999-03-29,0.2323898913464181
1999-03-30,0.22235590390183033
1999-03-31,0.22353032009103374
1999-04-01,0.21414922927715616
1999-04-05,0.2074744128802393
1999-04-06,0.20158512445118565
1999-04-07,0.1997086908474441
1999-04-08,0.19271103341531848
1999-04-09,0.20433741507614311
1999-04-12,0.19704472284230298
1999-04-13,0.19022065818412048
1999-04-14,0.18276929720278515
1999-04-15,0.17506437216064266
1999-04-16,0.1709476656757851
1999-04-19,0.1641758764252532
1999-04-20,0.17175439907030035
1999-04-21,0.17859174113043416
1999-04-22,0.1841507914726407
1999-04-23,0.17710829229598485
1999-04-26,0.1729947028090745
1999-04-27,0.1757761110048803
1999-04-28,0.17199463363721557
1999-04-29,0.18455745446879135
1999-04-30,0.18395445197113333
1999-05-03,0.18560782526607006
1999-05-04,0.17844182581446535
1999-05-05,0.18367800303792503
1999-05-06,0.17591719643059345
1999-05-07,0.1976466756613933
1999-05-10,0.22497263833630968
1999-05-11,0.2254274579548818
1999-05-12,0.26527190880302426
1999-05-13,0.2727488075134335
1999-05-14,0.3219549794614147
1999-05-17,0.31847645627267335
1999-05-18,0.3034495536328897
1999-05-19,0.2920211834781854
1999-05-20,0.2801246172688149
1999-05-21,0.2688213272789196
1999-05-24,0.2845611695224772
1999-05-25,0.2714758994828086
1999-05-26,0.25934345335866876
1999-05-27,0.25743567584932747
1999-05-28,0.24684543260915323
1999-06-01,0.24135804523570373
1999-06-02,0.2315370847186256
