,"iShares MSCI Hong Kong ETF - GJR-GARCH Volatility"
2005-07-22,0.12671870027742552
2005-07-25,0.1342211090700714
2005-07-26,0.13195750907015485
2005-07-27,0.1356818062969387
2005-07-28,0.13228403713222545
2005-07-29,0.1316438203638895
2005-08-01,0.13062651109173817
2005-08-02,0.1323214649253854
2005-08-03,0.12949313927772388
2005-08-04,0.13928585757355266
2005-08-05,0.15986709229857157
2005-08-08,0.1583542752185744
2005-08-09,0.1535246463601203
2005-08-10,0.15043274497262887
2005-08-11,0.14754784200387344
2005-08-12,0.14943631365903
2005-08-15,0.14603215960876564
2005-08-16,0.14788741285180426
2005-08-17,0.14840301317695676
2005-08-18,0.18870683930372
2005-08-19,0.1819998307691521
2005-08-22,0.17575016017062403
2005-08-23,0.19852854001377232
2005-08-24,0.2066260970932762
2005-08-25,0.20314476906876042
2005-08-26,0.19560968994403116
2005-08-29,0.18850401587234156
2005-08-30,0.18182223626388497
2005-08-31,0.17717529624640116
2005-09-01,0.17637235497662324
2005-09-02,0.17266846035104386
2005-09-06,0.166954547107888
2005-09-07,0.1620730501965086
2005-09-08,0.15889827311836965
2005-09-09,0.15541892317218003
2005-09-12,0.1509631728601383
2005-09-13,0.15136925526671527
2005-09-14,0.14694989145964008
2005-09-15,0.14305527477167698
2005-09-16,0.13916188831716822
2005-09-19,0.1516059882722315
2005-09-20,0.15082678104368602
2005-09-21,0.1464264209765437
2005-09-22,0.14239084029529428
2005-09-23,0.1425291519654839
2005-09-26,0.1414962662404913
2005-09-27,0.13770641030830771
2005-09-28,0.13474239822713563
2005-09-29,0.15799579564026378
2005-09-30,0.15395867536452762
2005-10-03,0.15880253398482028
2005-10-04,0.15391068500919616
2005-10-05,0.22836703089544252
2005-10-06,0.2408306201461932
2005-10-07,0.23773044146680078
2005-10-10,0.22894287671818928
2005-10-11,0.22002795186066704
2005-10-12,0.24828587958238785
2005-10-13,0.2390867424178932
2005-10-14,0.22975908513049056
2005-10-17,0.22495807609419138
2005-10-18,0.21693530003206024
2005-10-19,0.20866688860478083
2005-10-20,0.24107827525515443
2005-10-21,0.23775837146144824
2005-10-24,0.22879852796729266
2005-10-25,0.22434117143315446
2005-10-26,0.21577976272115976
2005-10-27,0.23402142209635426
2005-10-28,0.22874306546866074
2005-10-31,0.22256433676579904
2005-11-01,0.21594139204886126
2005-11-02,0.20884029783545127
2005-11-03,0.2017553151716207
2005-11-04,0.1973568463469155
2005-11-07,0.20617105325433055
2005-11-08,0.19846499943314944
2005-11-09,0.19219243793656401
2005-11-10,0.18588296317844732
2005-11-11,0.1813528262807062
2005-11-14,0.19424184307198075
2005-11-15,0.18723455450316856
2005-11-16,0.18075858153902402
2005-11-17,0.17783587039739765
2005-11-18,0.1726032108623707
2005-11-21,0.1668968783410882
2005-11-22,0.16172906232338083
2005-11-23,0.16610235759916234
2005-11-25,0.1616759202849948
2005-11-28,0.15659014796595602
2005-11-29,0.15202807411790759
2005-11-30,0.1550487896115284
2005-12-01,0.1545707115853453
2005-12-02,0.1499829098264199
2005-12-05,0.14870527751226587
2005-12-06,0.14444187578399834
2005-12-07,0.1404569512697752
2005-12-08,0.1400350166208438
2005-12-09,0.13669107242245193
2005-12-12,0.13397173328728715
2005-12-13,0.13069117996253612
2005-12-14,0.12766546298823342
2005-12-15,0.12561409904942994
2005-12-16,0.1254848770171131
2005-12-19,0.12424185381746362
2005-12-20,0.1222169793441157
2005-12-21,0.1199975564751216
2005-12-22,0.11780984491968402
2005-12-23,0.11673386038335236
2005-12-27,0.117528503266229
2005-12-28,0.11542782472177149
2005-12-29,0.11655294590871566
2005-12-30,0.1299549015620419
2006-01-03,0.1335962403662618
2006-01-04,0.1390181057272757
2006-01-05,0.13869516732748838
2006-01-06,0.14036033029314232
2006-01-09,0.14459508788337175
2006-01-10,0.1406504330601225
2006-01-11,0.1374174368848437
2006-01-12,0.13929519288187947
2006-01-13,0.13905005113267668
2006-01-17,0.15956991821768912
2006-01-18,0.1592387226776201
2006-01-19,0.1659680366817659
2006-01-20,0.2021657686157575
2006-01-23,0.19522333979317125
2006-01-24,0.18990038862519476
2006-01-25,0.18388087339361864
2006-01-26,0.17769829374532553
2006-01-27,0.18443213385958532
2006-01-30,0.17816113717643361
2006-01-31,0.174497959873461
2006-02-01,0.1719505998826407
2006-02-02,0.18652073879330416
2006-02-03,0.18394732833069363
2006-02-06,0.17791839365282053
2006-02-07,0.1726667819819435
2006-02-08,0.16795319347961205
2006-02-09,0.16293757577673726
2006-02-10,0.1599001913694915
2006-02-13,0.17975292042133836
2006-02-14,0.19079256589290894
2006-02-15,0.18712967909981568
2006-02-16,0.18090546260409052
2006-02-17,0.17785563696436502
2006-02-21,0.1744810625827342
2006-02-22,0.16882029735787105
2006-02-23,0.16761751459796795
2006-02-24,0.1629776279125451
2006-02-27,0.1588604444158457
2006-02-28,0.18374103406697156
2006-03-01,0.1840320406885714
2006-03-02,0.17761020578784315
2006-03-03,0.1755576315629714
2006-03-06,0.17475778437597567
2006-03-07,0.1908287525505525
2006-03-08,0.18494660094200163
2006-03-09,0.1815919502621193
2006-03-10,0.17794268290660337
2006-03-13,0.1720180746317084
2006-03-14,0.16865512266160196
2006-03-15,0.1639460118453633
2006-03-16,0.1587635713884013
2006-03-17,0.15412994517614026
2006-03-20,0.14979505599318022
2006-03-21,0.14637652065819845
2006-03-22,0.14378746816047636
2006-03-23,0.14137265775248056
2006-03-24,0.1376133426670539
2006-03-27,0.13504206011461764
2006-03-28,0.13805714599396873
2006-03-29,0.13729936095991124
2006-03-30,0.13412247596879504
2006-03-31,0.13984889145073692
2006-04-03,0.147698574400703
2006-04-04,0.14411860615479183
2006-04-05,0.14082078994239453
2006-04-06,0.14006212421636335
2006-04-07,0.13684706032648272
2006-04-10,0.13690959162892863
2006-04-11,0.14319235510319675
2006-04-12,0.13928989209558604
2006-04-13,0.1358161794485473
2006-04-17,0.13258110136818144
2006-04-18,0.1514509168014509
2006-04-19,0.14879277926028536
2006-04-20,0.14552425529787122
2006-04-21,0.14174587994012386
2006-04-24,0.14978693027096857
2006-04-25,0.16377345938826593
2006-04-26,0.16155928942651365
2006-04-27,0.15829394290370052
2006-04-28,0.15563365407263302
2006-05-01,0.15337566351934714
2006-05-02,0.15918688639457712
2006-05-03,0.15497693492904033
2006-05-04,0.15083668015439747
2006-05-05,0.1466959655886964
2006-05-08,0.1438112137491371
2006-05-09,0.14841465305016213
2006-05-10,0.15971064585681194
2006-05-11,0.16061982069470757
2006-05-12,0.1883975063529239
2006-05-15,0.190044646333434
2006-05-16,0.1833854039993369
2006-05-17,0.18251045339925054
2006-05-18,0.19082406452017522
2006-05-19,0.18710981481472316
2006-05-22,0.23578251080179805
2006-05-23,0.23189678652366014
2006-05-24,0.22398165549883767
2006-05-25,0.21652252631077443
2006-05-26,0.20885133851617999
2006-05-30,0.24836077226486475
2006-05-31,0.2409114916312628
2006-06-01,0.23245196406999877
2006-06-02,0.22330653908920806
2006-06-05,0.22599250695542986
2006-06-06,0.2175595945942169
2006-06-07,0.20938060655180077
2006-06-08,0.22044673642401694
2006-06-09,0.21229790766750387
2006-06-12,0.23115011486045167
2006-06-13,0.2813805664931393
2006-06-14,0.28470835814917694
2006-06-15,0.28042815764469875
2006-06-16,0.26887911335765746
2006-06-19,0.2595148989942581
2006-06-20,0.2513269512010202
2006-06-21,0.24422810403391335
2006-06-22,0.2344781960012487
2006-06-23,0.2262522273923508
2006-06-26,0.2174794252337448
2006-06-27,0.23316226195505996
2006-06-28,0.2261547487894075
2006-06-29,0.24163707414219368
2006-06-30,0.23253867549291665
2006-07-03,0.22435217939659066
2006-07-05,0.2256464553233664
2006-07-06,0.2186072478212925
2006-07-07,0.21799109798338098
2006-07-10,0.21024357873666438
2006-07-11,0.20378435366828337
2006-07-12,0.2036505094518548
2006-07-13,0.20157999900783807
2006-07-14,0.1978136941670116
2006-07-17,0.19076647818733772
2006-07-18,0.18574320660524843
2006-07-19,0.19604567324988328
2006-07-20,0.20991112119180347
2006-07-21,0.20422306040210053
2006-07-24,0.21197437864043853
2006-07-25,0.203990576252924
2006-07-26,0.19645728085260675
2006-07-27,0.18981338308981272
2006-07-28,0.19590911464247907
2006-07-31,0.20683539542351065
2006-08-01,0.2050263826925696
2006-08-02,0.20797774303997052
2006-08-03,0.20339178744482286
2006-08-04,0.21078728424646492
2006-08-07,0.202836893093934
2006-08-08,0.19639878003694422
2006-08-09,0.19409986089639528
2006-08-10,0.18720675949334736
2006-08-11,0.1807629032738742
2006-08-14,0.17696979403276708
2006-08-15,0.17457924618923062
2006-08-16,0.17331088021240906
2006-08-17,0.16752540464060964
2006-08-18,0.16226278686131335
2006-08-21,0.17406873814674476
2006-08-22,0.16866117395535937
2006-08-23,0.176795984117287
2006-08-24,0.17079030300342
2006-08-25,0.16533640978320535
2006-08-28,0.16088749112345557
2006-08-29,0.1568986841245012
2006-08-30,0.15576019876720754
2006-08-31,0.1551637934571078
2006-09-01,0.15498060162484853
2006-09-05,0.15078127018963597
2006-09-06,0.16619806136053453
2006-09-07,0.16773323820877006
2006-09-08,0.1665569524216867
2006-09-11,0.1692634987231447
2006-09-12,0.1734584745695638
2006-09-13,0.16807385876453243
2006-09-14,0.16634393767132002
2006-09-15,0.1646729048750887
2006-09-18,0.1622219368642848
2006-09-19,0.15829013803771858
2006-09-20,0.16390242951219486
2006-09-21,0.18129820848535708
2006-09-22,0.17709484577479945
2006-09-25,0.17215184692590435
2006-09-26,0.18057962675783779
2006-09-27,0.17468754506260598
2006-09-28,0.16917548758611575
2006-09-29,0.18342346414785649
2006-10-02,0.18050313681484872
2006-10-03,0.17461706102211202
2006-10-04,0.1752700236777527
2006-10-05,0.17069466423998145
2006-10-06,0.16944629945796988
2006-10-09,0.16464459177270294
2006-10-10,0.15943096311570096
2006-10-11,0.1574363951569014
2006-10-12,0.15851042287496428
2006-10-13,0.15480853116026908
2006-10-16,0.1502122318587937
2006-10-17,0.15842296765305214
2006-10-18,0.15355756992086064
2006-10-19,0.1499781968154038
2006-10-20,0.14564504111022797
2006-10-23,0.14235954720355076
2006-10-24,0.13866277669223273
2006-10-25,0.13510579054948013
2006-10-26,0.13375358612014857
2006-10-27,0.1424566430883446
2006-10-30,0.1390907312512232
2006-10-31,0.13588125301159099
2006-11-01,0.13262721440187153
2006-11-02,0.13234562070578687
2006-11-03,0.12944151003445534
2006-11-06,0.1400688890510666
2006-11-07,0.13678448201459112
2006-11-08,0.1341809621369589
2006-11-09,0.13609833209852354
2006-11-10,0.1334600758279419
2006-11-13,0.13023372143957188
2006-11-14,0.12829290720846573
2006-11-15,0.12738968639572043
2006-11-16,0.12485190939669284
2006-11-17,0.12497718863856715
2006-11-20,0.13102752825265385
2006-11-21,0.1292354985288485
2006-11-22,0.13381801493072598
2006-11-24,0.13293611834260846
2006-11-27,0.14223334039528143
2006-11-28,0.15485536451799145
2006-11-29,0.1541526861264506
2006-11-30,0.1512133244128969
2006-12-01,0.16727867646535227
2006-12-04,0.1774123806277341
2006-12-05,0.1746643180503677
2006-12-06,0.1689307218951011
2006-12-07,0.1769010028236132
2006-12-08,0.171819897567191
2006-12-11,0.16688049496570892
2006-12-12,0.16400671571615597
2006-12-13,0.16198432146352928
2006-12-14,0.17315333667013177
2006-12-15,0.16990344198985494
2006-12-18,0.16799264983921172
2006-12-19,0.16251798300495857
2006-12-20,0.1574914557682416
2006-12-21,0.15679769016155817
2006-12-22,0.15201715850521613
2006-12-26,0.15568803306612874
2006-12-27,0.15176897113705423
2006-12-28,0.14814701076970807
2006-12-29,0.14396874660842193
2007-01-03,0.14337872729244042
2007-01-04,0.15147867651917216
2007-01-05,0.15286897212972947
2007-01-08,0.16731972268683692
2007-01-09,0.16247905834291385
2007-01-10,0.16557301954122838
2007-01-11,0.16043591617839195
2007-01-12,0.15841947607538664
2007-01-16,0.1581620087125856
2007-01-17,0.15469840270668603
2007-01-18,0.15066566417070612
2007-01-19,0.15589706719499247
2007-01-22,0.15229048427265574
2007-01-23,0.14944578214188584
2007-01-24,0.15229000439950088
2007-01-25,0.24758054689332923
2007-01-26,0.23797984032266262
2007-01-29,0.2285560351423694
2007-01-30,0.22345054486395868
2007-01-31,0.23071334941871052
2007-02-01,0.2292037617492348
2007-02-02,0.22022153845616466
2007-02-05,0.21176260293073468
2007-02-06,0.20811855179200148
2007-02-07,0.2016384963244866
2007-02-08,0.19524650880361474
2007-02-09,0.19944371837688948
2007-02-12,0.1924350508613231
2007-02-13,0.19596686148428263
2007-02-14,0.19037705008745145
2007-02-15,0.18365605026788526
2007-02-16,0.17724419426316904
2007-02-20,0.17145174014864942
2007-02-21,0.166943226277678
2007-02-22,0.16157964351984444
2007-02-23,0.16333750089921176
2007-02-26,0.15814879967928938
2007-02-27,0.45468243071400943
2007-02-28,0.4371244564194504
2007-03-01,0.42633425478138626
2007-03-02,0.4113889356800934
2007-03-05,0.4332154941827451
2007-03-06,0.43423659357543787
2007-03-07,0.4157882725618894
2007-03-08,0.3990828229828991
2007-03-09,0.3851152009464181
2007-03-12,0.36811179932189075
2007-03-13,0.39514169256103565
2007-03-14,0.3804955621291791
2007-03-15,0.3643837246639866
2007-03-16,0.352554593219263
2007-03-19,0.345647496736198
2007-03-20,0.33075157142483846
2007-03-21,0.32501096166129534
2007-03-22,0.3116987815183114
2007-03-23,0.29870914281287075
2007-03-26,0.2874937362795927
2007-03-27,0.2839925499022818
2007-03-28,0.2743361609412802
2007-03-29,0.26555304554834236
2007-03-30,0.2555154789831724
2007-04-02,0.248441424082217
2007-04-03,0.24604253046983565
2007-04-04,0.23621630426369808
2007-04-05,0.22692146747278014
2007-04-09,0.21869990946500184
2007-04-10,0.21060261536837568
2007-04-11,0.20735012129246513
2007-04-12,0.20206159654917114
2007-04-13,0.19998654354730971
2007-04-16,0.1957989754825086
2007-04-17,0.19522314616868564
2007-04-18,0.18959679111208608
2007-04-19,0.19859713593100986
2007-04-20,0.194317139748402
2007-04-23,0.1873191255584971
2007-04-24,0.180971478415799
2007-04-25,0.17697413709353124
2007-04-26,0.1709655754823175
2007-04-27,0.17375720301616276
2007-04-30,0.18966223978430707
2007-05-01,0.18338574753780623
2007-05-02,0.18817526723775366
2007-05-03,0.18821122070694937
2007-05-04,0.18210378579260783
2007-05-07,0.17605408941572473
2007-05-08,0.17908035068091643
2007-05-09,0.17892042253471235
2007-05-10,0.22359440153993124
2007-05-11,0.24380655036319268
2007-05-14,0.2511740464299606
2007-05-15,0.24137057401431516
2007-05-16,0.23378768829859284
2007-05-17,0.22458832739036105
2007-05-18,0.2164916238564439
2007-05-21,0.2107544647213909
2007-05-22,0.20654754029036512
2007-05-23,0.2041828298363993
2007-05-24,0.21005933161847393
2007-05-25,0.2049296903818478
2007-05-29,0.20281260315867947
