,"iShares Russell 2000 ETF - GJR-GARCH Volatility"
2015-09-30,0.2488517848037261
2015-10-01,0.23863894820418566
2015-10-02,0.23031706319767106
2015-10-05,0.225029982002399
2015-10-06,0.21996930422220282
2015-10-07,0.21362729320009652
2015-10-08,0.20596884910102303
2015-10-09,0.1982012885931875
2015-10-12,0.19111384565227085
2015-10-13,0.20200440688262228
2015-10-14,0.20330702299723935
2015-10-15,0.20027835529582322
2015-10-16,0.19300934070660933
2015-10-19,0.18609561735838917
2015-10-20,0.17981010983812898
2015-10-21,0.1967123127818897
2015-10-22,0.19017766430367158
2015-10-23,0.18427322648719213
2015-10-26,0.1826129447766505
2015-10-27,0.18837081939621114
2015-10-28,0.1890027333135688
2015-10-29,0.1933851938489604
2015-10-30,0.18843341741846112
2015-11-02,0.18555391669269608
2015-11-03,0.1793546129877902
2015-11-04,0.17336430774527956
2015-11-05,0.16777101895142674
2015-11-06,0.16307014318997823
2015-11-09,0.17340260551675687
2015-11-10,0.1678867868535222
2015-11-11,0.17097493500510538
2015-11-12,0.2021276220609148
2015-11-13,0.19939652053132723
2015-11-16,0.19264603188231
2015-11-17,0.18714604030008222
2015-11-18,0.1831184174243541
2015-11-19,0.17864274292565036
2015-11-20,0.1730659203887351
2015-11-23,0.16772670270413115
2015-11-24,0.1630610253862032
2015-11-25,0.1588179259403673
2015-11-27,0.15441713233964682
2015-11-30,0.15245147083580401
2015-12-01,0.14885616681884564
2015-12-02,0.15894069082522574
2015-12-03,0.18512582639923583
2015-12-04,0.17963371732500555
2015-12-07,0.19599367132639767
2015-12-08,0.19175334469051641
2015-12-09,0.19683704834202329
2015-12-10,0.18973158408657217
2015-12-11,0.22764603313038426
2015-12-14,0.2226716488464573
2015-12-15,0.21535465260820347
2015-12-16,0.20874567396715077
2015-12-17,0.21082990015650058
2015-12-18,0.22284224554603646
2015-12-21,0.21439073860593888
2015-12-22,0.20670413638822038
2015-12-23,0.2001412221407674
2015-12-24,0.19275208948283806
2015-12-28,0.18789738369652728
2015-12-29,0.18232775872038795
2015-12-30,0.186306946730389
2015-12-31,0.19493831024198396
2016-01-04,0.2347977095288623
2016-01-05,0.2252038836254828
2016-01-06,0.23504357298169204
2016-01-07,0.27792591314952986
2016-01-08,0.2854599362432494
2016-01-11,0.27403166605339613
2016-01-12,0.2620850961042997
2016-01-13,0.3183102863559392
2016-01-14,0.3047439987924291
2016-01-15,0.30707096704182246
2016-01-19,0.3042788714321124
2016-01-20,0.2906037549654168
2016-01-21,0.2779763673408227
2016-01-22,0.269296556977619
2016-01-25,0.2908732301192394
2016-01-26,0.2801747654589899
2016-01-27,0.2804238442072999
2016-01-28,0.2680468354597756
2016-01-29,0.2629369163887034
2016-02-01,0.2530975598460009
2016-02-02,0.2754623720220241
2016-02-03,0.2633857854934469
2016-02-04,0.2521150737262649
2016-02-05,0.29345310562336874
2016-02-08,0.29742605198603567
2016-02-09,0.2869420380494988
2016-02-10,0.27418096870497777
2016-02-11,0.2702518758491789
2016-02-12,0.2606965891606563
2016-02-16,0.25304767218846336
2016-02-17,0.24392218349301484
2016-02-18,0.23549590314907817
2016-02-19,0.2260040477513622
2016-02-22,0.21784481357149635
2016-02-23,0.21644133246679112
2016-02-24,0.20868584810666968
2016-02-25,0.20138257024876804
2016-02-26,0.1942172566998103
2016-02-29,0.18911083416874877
2016-03-01,0.18642715467441967
2016-03-02,0.18087383890435899
2016-03-03,0.17575890645995723
2016-03-04,0.17028094080078368
2016-03-07,0.1660472005184068
2016-03-08,0.21790651940683187
2016-03-09,0.20953899398441334
2016-03-10,0.20742072027644687
2016-03-11,0.2031684611350886
2016-03-14,0.19617667751289908
2016-03-15,0.2111994545447502
2016-03-16,0.20345762900417377
2016-03-17,0.19773647918378642
2016-03-18,0.19116473628784153
2016-03-21,0.1848947484381317
2016-03-22,0.17863900469942168
2016-03-23,0.20570569267766994
2016-03-24,0.19799641814942007
2016-03-28,0.19073179913166027
2016-03-29,0.19046445967686462
2016-03-30,0.18368959578593447
2016-03-31,0.17744646742045894
2016-04-01,0.1717468427657405
2016-04-04,0.17375531761646895
2016-04-05,0.18155711498038296
2016-04-06,0.17655386147009078
2016-04-07,0.18931813225362223
2016-04-08,0.1827594386071483
2016-04-11,0.17750219942299306
2016-04-12,0.17269669828922612
2016-04-13,0.17152154150426704
2016-04-14,0.16622269881096263
2016-04-15,0.16119505575544182
2016-04-18,0.15705923124732274
2016-04-19,0.15264645623138454
2016-04-20,0.14858240016906446
2016-04-21,0.14793037294619385
2016-04-22,0.14529819200526894
2016-04-25,0.14810363709240906
2016-04-26,0.1454315814395209
2016-04-27,0.1420370027844857
2016-04-28,0.15493383865379443
2016-04-29,0.16014805899541837
2016-05-02,0.15631910094419044
2016-05-03,0.1815306023787725
2016-05-04,0.18227025319563253
2016-05-05,0.17767170174228647
2016-05-06,0.1720987751263791
2016-05-09,0.1666703884917774
2016-05-10,0.16255581318427217
2016-05-11,0.1745403403228033
2016-05-12,0.17186447800520036
2016-05-13,0.17109376376712274
2016-05-16,0.16720876173215327
2016-05-17,0.18836285939643196
2016-05-18,0.18197248253513496
2016-05-19,0.1823670068844691
2016-05-20,0.17870226187712343
2016-05-23,0.17287492125811657
2016-05-24,0.17131344955957192
2016-05-25,0.16619283017025732
2016-05-26,0.16125202882444611
2016-05-27,0.1575405947684596
2016-05-31,0.15321410196192778
2016-06-01,0.14958152105123146
2016-06-02,0.14638097950211976
2016-06-03,0.14728747889756277
2016-06-06,0.14490858235453138
2016-06-07,0.1415113858316708
2016-06-08,0.13892509147018764
2016-06-09,0.14130505723433964
2016-06-10,0.16073493833015895
2016-06-13,0.1692578411772997
2016-06-14,0.1648601079703638
2016-06-15,0.15987331859944612
2016-06-16,0.1552462996660468
2016-06-17,0.15314898040796748
2016-06-20,0.15029639157345062
2016-06-21,0.1468358855321137
2016-06-22,0.14511635152525026
2016-06-23,0.14566632143361072
2016-06-24,0.2649856237609882
2016-06-27,0.3289903956044918
2016-06-28,0.3150206393238386
2016-06-29,0.3033569442092928
2016-06-30,0.29154487750601965
2016-07-01,0.2785871655335184
2016-07-05,0.28084606673407414
2016-07-06,0.2687551837639602
2016-07-07,0.25709420996980853
2016-07-08,0.24959249988731633
2016-07-11,0.23995483074945587
2016-07-12,0.23125496837905993
2016-07-13,0.2231028094847754
2016-07-14,0.21421347016469341
2016-07-15,0.2059419306503656
2016-07-18,0.19816657538545698
2016-07-19,0.19324049575593624
2016-07-20,0.18664992258235738
2016-07-21,0.18238317356598444
2016-07-22,0.17666565710403365
2016-07-25,0.1710712272709821
2016-07-26,0.165861717101928
2016-07-27,0.16087723145305552
2016-07-28,0.1569291013164862
2016-07-29,0.15256121433706538
2016-08-01,0.1484865266615123
2016-08-02,0.1675102862513225
2016-08-03,0.16298280768228285
2016-08-04,0.15813567718892535
2016-08-05,0.15579750241900545
2016-08-08,0.15150093385850796
2016-08-09,0.14751192006071917
2016-08-10,0.1502260800260727
2016-08-11,0.14657455863825755
2016-08-12,0.14296256041355723
2016-08-15,0.1407493256822213
2016-08-16,0.14600204395829533
2016-08-17,0.14352285574081922
2016-08-18,0.1407645434049356
2016-08-19,0.13759856394599473
2016-08-22,0.13474973870104537
2016-08-23,0.13266575157138333
2016-08-24,0.139104807968668
2016-08-25,0.13611676355247357
2016-08-26,0.13387775408931837
2016-08-29,0.13160384462469174
2016-08-30,0.12922906360412892
2016-08-31,0.13149288087193162
2016-09-01,0.1290904887278687
2016-09-02,0.1280631291199774
