,"iShares MSCI Hong Kong ETF - GARCH Volatility"
2021-08-13,0.15249576440019572
2021-08-16,0.1502687488468577
2021-08-17,0.15435459993145653
2021-08-18,0.14967641537663842
2021-08-19,0.14490844323226992
2021-08-20,0.1420836562029567
2021-08-23,0.14041959222273792
2021-08-24,0.13682554103675235
2021-08-25,0.13290366089765926
2021-08-26,0.13049018307903473
2021-08-27,0.12853235234757046
2021-08-30,0.12521166383368604
2021-08-31,0.1220681221285885
2021-09-01,0.1229438052119748
2021-09-02,0.1201671306139911
2021-09-03,0.11966401564380162
2021-09-07,0.12078175408562337
2021-09-08,0.11796534677607659
2021-09-09,0.12131614237190366
2021-09-10,0.12146971770774807
2021-09-13,0.11859027700448296
2021-09-14,0.13550410547286013
2021-09-15,0.16140713738865453
2021-09-16,0.17045414984681362
2021-09-17,0.167126981663644
2021-09-20,0.236728621843663
2021-09-21,0.23697732043383393
2021-09-22,0.24162455918221556
2021-09-23,0.23268584830195413
2021-09-24,0.25418264771616494
2021-09-27,0.24569138446433159
2021-09-28,0.24003300523053075
2021-09-29,0.24109107988476058
2021-09-30,0.23171909891072853
2021-10-01,0.22304384053364934
2021-10-04,0.21594757697181974
2021-10-05,0.21422793935432421
2021-10-06,0.20567432897666155
2021-10-07,0.20285875776017165
2021-10-08,0.19526573893031007
2021-10-11,0.19282607292583645
2021-10-12,0.18689919100948513
2021-10-13,0.18520789076062605
2021-10-14,0.17910961783220913
2021-10-15,0.18709385452226912
2021-10-18,0.18023174082275298
2021-10-19,0.18089884576746199
2021-10-20,0.17647762577732057
2021-10-21,0.17797730529480435
2021-10-22,0.17271457263357945
2021-10-25,0.16720748069389718
2021-10-26,0.1617439420813033
2021-10-27,0.16157395087080098
2021-10-28,0.15768894266878702
2021-10-29,0.15283529016558972
2021-11-01,0.1490461085704689
2021-11-02,0.14823455305697117
2021-11-03,0.14505332757299985
2021-11-04,0.14063399347241762
2021-11-05,0.1411043741348935
2021-11-08,0.13752269499977085
2021-11-09,0.1404676619012362
2021-11-10,0.13662026086931614
2021-11-11,0.13614342966151544
2021-11-12,0.13615661731990847
2021-11-15,0.13928926792829374
2021-11-16,0.13539717574602508
2021-11-17,0.13419090610022724
2021-11-18,0.13048317270820786
2021-11-19,0.1273239047469092
2021-11-22,0.12473685854630139
2021-11-23,0.12186856690713976
2021-11-24,0.11902269430659011
2021-11-26,0.1908350250871155
2021-11-29,0.1835927155417665
2021-11-30,0.19592532148755046
2021-12-01,0.18924830355910727
2021-12-02,0.1892464393324218
2021-12-03,0.18443985361087228
2021-12-06,0.1788815451632728
2021-12-07,0.17849110566075832
2021-12-08,0.172355856297371
2021-12-09,0.16620662802668248
2021-12-10,0.16051576744980536
2021-12-13,0.1697555772279662
2021-12-14,0.1658016163974284
2021-12-15,0.16007967391271138
2021-12-16,0.15511204131207867
2021-12-17,0.16156014731362436
2021-12-20,0.15761439845394837
2021-12-21,0.15367062321732153
2021-12-22,0.14999341065526847
2021-12-23,0.14589042381184586
2021-12-27,0.14635447406895355
2021-12-28,0.14179837841103826
2021-12-29,0.13789988629436936
2021-12-30,0.13400959234323492
2021-12-31,0.13099190463536287
2022-01-03,0.12842484712858335
2022-01-04,0.1285288820460211
2022-01-05,0.14419417658144174
2022-01-06,0.13979169503228725
2022-01-07,0.15247090043677186
2022-01-10,0.1485830531386403
2022-01-11,0.14400866723916309
2022-01-12,0.15638500529142813
