,"美国iShares安硕MSCI德国指数ETF - GJR-GARCH模型波动率预测"
2021-03-09,0.15954077848625411
2021-03-10,0.1566503080111878
2021-03-11,0.15289042546869966
2021-03-12,0.14915515599535942
2021-03-15,0.14718728640748832
2021-03-16,0.14306115825058877
2021-03-17,0.14519505611418043
2021-03-18,0.1435053316082716
2021-03-19,0.14297887326454914
2021-03-22,0.14044204114153283
2021-03-23,0.15092556761529838
2021-03-24,0.1587223685559159
2021-03-25,0.1540648754259062
2021-03-26,0.15238817316314282
2021-03-29,0.14786799450861568
2021-03-30,0.1440690172105023
2021-03-31,0.14037163174943862
2021-04-01,0.14315750542671524
2021-04-05,0.1519216528346108
2021-04-06,0.15986078693663433
2021-04-07,0.15501992981549179
2021-04-08,0.15059247949349927
2021-04-09,0.1463391402188765
2021-04-12,0.14238676975056355
2021-04-13,0.13915459949279435
2021-04-14,0.13723204931793448
2021-04-15,0.13553183109513425
2021-04-16,0.13883323103637688
2021-04-19,0.13690208164962286
2021-04-20,0.15846394618335113
2021-04-21,0.15408458404395944
2021-04-22,0.14989780919012793
2021-04-23,0.14767425936838147
2021-04-26,0.14355171848501153
2021-04-27,0.1398656755605177
2021-04-28,0.13672883280420411
2021-04-29,0.13846691792626858
2021-04-30,0.15398831501123714
2021-05-03,0.15264441738891077
2021-05-04,0.21668784645198727
2021-05-05,0.21234532347099147
2021-05-06,0.2052644460202497
2021-05-07,0.2039721069166076
2021-05-10,0.20525493124405078
2021-05-11,0.20974730796842184
2021-05-12,0.2077762055674326
2021-05-13,0.20193129029449597
2021-05-14,0.20181369923768802
2021-05-17,0.19418773596702754
2021-05-18,0.18701989412894018
2021-05-19,0.19595413034687478
2021-05-20,0.19485639943301838
2021-05-21,0.18764655392519203
2021-05-24,0.18319759823753148
2021-05-25,0.17681458424010163
2021-05-26,0.17372123186300517
2021-05-27,0.16808225486350423
2021-05-28,0.1629017679462074
2021-06-01,0.15967166811930036
2021-06-02,0.15467430012772
2021-06-03,0.15213746047571586
2021-06-04,0.14923205138307252
2021-06-07,0.14611532075727035
2021-06-08,0.14455084890791892
2021-06-09,0.1444449986673128
2021-06-10,0.14047120502081556
2021-06-11,0.13704529849651903
2021-06-14,0.13367325386927634
2021-06-15,0.1305461173685376
2021-06-16,0.14690616433628645
2021-06-17,0.1476247381708093
2021-06-18,0.18235892300625162
2021-06-21,0.18128792237763663
2021-06-22,0.17490639096385244
2021-06-23,0.1770104437596833
2021-06-24,0.17308761480822366
2021-06-25,0.1673426891142843
2021-06-28,0.1637118993842537
2021-06-29,0.15879079066495008
2021-06-30,0.16741969776582444
2021-07-01,0.1620423389117795
2021-07-02,0.15718018730107175
2021-07-06,0.16553968466805777
2021-07-07,0.1625313175975633
2021-07-08,0.17581044337581314
2021-07-09,0.1775787757588164
2021-07-12,0.17233670183684033
2021-07-13,0.17276701768566824
2021-07-14,0.1673553381281876
2021-07-15,0.17613465757766128
2021-07-16,0.17634470561942028
2021-07-19,0.21147305360258078
2021-07-20,0.20371651479445646
2021-07-21,0.20030804776643402
2021-07-22,0.1928833056539627
2021-07-23,0.18718616295014973
2021-07-26,0.1804490997483778
2021-07-27,0.17490848006886345
2021-07-28,0.16902176782888056
2021-07-29,0.16476186816129512
2021-07-30,0.16648105838202734
2021-08-02,0.1611318851127858
2021-08-03,0.1562062544202376
2021-08-04,0.15164569311391604
2021-08-05,0.14781120742352388
2021-08-06,0.14773333367930205
2021-08-09,0.1442985255641928
2021-08-10,0.1404806499130752
2021-08-11,0.13731643834588778
2021-08-12,0.13480705545334043
2021-08-13,0.13313570340070316
2021-08-16,0.1332220914112971
2021-08-17,0.14025058074746072
2021-08-18,0.1366033454934395
2021-08-19,0.1466261789722422
2021-08-20,0.1427336316359953
2021-08-23,0.14045579404211134
2021-08-24,0.13710059868578256
2021-08-25,0.1342856419726249
2021-08-26,0.1364270943764471
2021-08-27,0.13580734722392598
2021-08-30,0.13268058591971923
2021-08-31,0.13250087607257546
2021-09-01,0.1295741279731413
2021-09-02,0.12723048172509605
2021-09-03,0.12501953527349235
2021-09-07,0.12249148198956529
2021-09-08,0.14473420079580362
2021-09-09,0.1413631565861487
2021-09-10,0.1378563595921494
2021-09-13,0.13586607258620528
2021-09-14,0.13274545009151914
2021-09-15,0.12969942158699088
2021-09-16,0.12765263193526408
2021-09-17,0.15231296215358694
2021-09-20,0.21092657585046035
2021-09-21,0.2054108565777379
2021-09-22,0.19925726285382925
2021-09-23,0.1955020245419469
2021-09-24,0.1972851367944377
2021-09-27,0.1899751510066514
2021-09-28,0.2195465098788865
2021-09-29,0.21268854976232265
2021-09-30,0.20830372920329585
2021-10-01,0.20030125411489563
2021-10-04,0.19810240987933492
2021-10-05,0.1907929621343513
2021-10-06,0.19510022039967048
2021-10-07,0.18991180058121718
2021-10-08,0.18301875641583845
2021-10-11,0.18112569999864736
2021-10-12,0.17476254289749846
2021-10-13,0.17279173938588618
2021-10-14,0.17069067812859612
2021-10-15,0.16641921283313413
2021-10-18,0.16389374240647506
2021-10-19,0.1589841275096354
2021-10-20,0.1540826214730266
2021-10-21,0.15023732705289988
2021-10-22,0.14723266729907464
2021-10-25,0.14308393243128315
2021-10-26,0.14000588787618898
2021-10-27,0.1386909792308065
2021-10-28,0.1365692870304301
2021-10-29,0.1431323573480155
2021-11-01,0.1433146666604643
2021-11-02,0.14003213731140435
2021-11-03,0.13915976961751553
2021-11-04,0.13813180922582605
2021-11-05,0.13460011040114345
2021-11-08,0.13219106944116912
2021-11-09,0.12908892702319594
2021-11-10,0.14799222276863064
2021-11-11,0.14396168365228298
2021-11-12,0.14003882261715858
2021-11-15,0.13870475132453106
2021-11-16,0.13529164231392862
2021-11-17,0.13212593310928783
2021-11-18,0.12940567375505604
2021-11-19,0.14762061563345413
2021-11-22,0.15472921986489818
2021-11-23,0.15259410630820575
2021-11-24,0.16000243998139527
2021-11-26,0.23144640502716823
2021-11-29,0.22216264582508014
2021-11-30,0.2169999354838614
2021-12-01,0.20861144935022144
2021-12-02,0.20199629798587893
2021-12-03,0.1983599001814631
2021-12-06,0.19299993989636371
2021-12-07,0.19865809724247335
2021-12-08,0.19122207090187054
2021-12-09,0.1997963693363821
2021-12-10,0.19278470582491758
2021-12-13,0.1866025948372637
2021-12-14,0.1871067171429182
2021-12-15,0.18319470953059752
2021-12-16,0.17690855264797123
