,"美国iShares安硕MSCI德国指数ETF - 广义自回归条件异方差（GARCH）模型波动率预测"
2005-03-30,0.14102858646387975
2005-03-31,0.136715727990601
2005-04-01,0.1357248885061248
2005-04-04,0.13299790208871717
2005-04-05,0.12928106032981013
2005-04-06,0.1274825974005864
2005-04-07,0.1248024893982488
2005-04-08,0.1229836145183577
2005-04-11,0.12274469845985202
2005-04-12,0.11996957014176554
2005-04-13,0.1293430995453565
2005-04-14,0.126271258012265
2005-04-15,0.16084119994578505
2005-04-18,0.15562356621026263
2005-04-19,0.15102720125858124
2005-04-20,0.1656769386486846
2005-04-21,0.1884344204225969
2005-04-22,0.18471502591830477
2005-04-25,0.1789754843547015
2005-04-26,0.18109327983114118
2005-04-27,0.1753159547787936
2005-04-28,0.18532629602946257
2005-04-29,0.18793493235691977
2005-05-02,0.1807060851216693
2005-05-03,0.17439243332209114
2005-05-04,0.2036276160052953
2005-05-05,0.19766388744532978
2005-05-06,0.19042152084257705
2005-05-09,0.1828875588989038
2005-05-10,0.1815369185592837
2005-05-11,0.1747201442307097
2005-05-12,0.18342394500173637
2005-05-13,0.17872489362145388
2005-05-16,0.1803497801495749
2005-05-17,0.17406410543245268
2005-05-18,0.18179222755662575
2005-05-19,0.177104237103464
2005-05-20,0.17057681319569784
2005-05-23,0.1762116851970947
2005-05-24,0.17536733447252942
2005-05-25,0.17208252090203702
2005-05-26,0.16557507421106596
2005-05-27,0.16429877905815368
2005-05-31,0.17963049073027662
2005-06-01,0.1728156555408103
2005-06-02,0.17523177451592506
2005-06-03,0.18226161197575313
2005-06-06,0.17710935943647926
2005-06-07,0.17551556854022948
2005-06-08,0.17177919315213935
2005-06-09,0.1656033043148596
2005-06-10,0.15957884070264455
2005-06-13,0.1542410350069008
2005-06-14,0.15084683755385792
2005-06-15,0.1481143647321218
2005-06-16,0.1518478952109643
2005-06-17,0.18049852963390034
2005-06-20,0.18824147789475093
2005-06-21,0.18113126510903635
2005-06-22,0.17639928571283955
2005-06-23,0.17854538246619542
2005-06-24,0.17213179136928772
2005-06-27,0.1659390333827457
2005-06-28,0.16777176997337784
2005-06-29,0.16372090397991332
2005-06-30,0.1580993715357528
2005-07-01,0.15397787386504594
2005-07-05,0.1573194405024376
2005-07-06,0.15640965788595027
2005-07-07,0.15289323569079177
2005-07-08,0.16821376400283064
2005-07-11,0.17797390707629027
2005-07-12,0.17883244336529097
2005-07-13,0.17619766967812034
2005-07-14,0.17012547957316684
2005-07-15,0.16388936024037679
2005-07-18,0.15799002171023335
2005-07-19,0.1572172582129583
2005-07-20,0.17356493194191042
2005-07-21,0.17112535405368778
2005-07-22,0.16838131725342925
2005-07-25,0.16257077228087466
2005-07-26,0.1566873675827123
2005-07-27,0.1578347402823599
2005-07-28,0.16276457354105037
2005-07-29,0.16187149347553448
2005-08-01,0.17176657649263433
2005-08-02,0.1664521444740199
2005-08-03,0.1655918911058147
2005-08-04,0.1691710187945914
2005-08-05,0.16435728277140627
2005-08-08,0.15880523165185711
2005-08-09,0.18738906798423435
2005-08-10,0.18391691276225797
2005-08-11,0.17862087671938018
2005-08-12,0.17544678167467193
2005-08-15,0.16869299570521595
2005-08-16,0.18570392564509777
2005-08-17,0.17870078119583024
2005-08-18,0.18722116226538071
2005-08-19,0.19183316501585435
2005-08-22,0.1872125476564004
2005-08-23,0.17996581675418252
2005-08-24,0.1729935374515476
2005-08-25,0.16939773552205473
2005-08-26,0.17461179341613786
2005-08-29,0.17060111371266015
2005-08-30,0.17020115510771366
2005-08-31,0.19673985361385224
2005-09-01,0.18993110645705194
2005-09-02,0.18327674484232856
2005-09-06,0.21603735510323208
2005-09-07,0.20723621305167686
2005-09-08,0.19964697743767623
2005-09-09,0.1966563225528231
2005-09-12,0.2073050882154126
2005-09-13,0.21403676132851573
2005-09-14,0.2048735473407926
2005-09-15,0.19779311919275658
2005-09-16,0.22267708099398106
2005-09-19,0.24654250424622526
2005-09-20,0.2355437844647997
2005-09-21,0.2294473272888573
2005-09-22,0.21947160180761427
2005-09-23,0.21020042435732617
2005-09-26,0.21733204273645432
2005-09-27,0.20870106276681966
2005-09-28,0.21141197317086846
2005-09-29,0.2038493885200542
2005-09-30,0.198298465954732
2005-10-03,0.1902187372474121
2005-10-04,0.18308022503809634
2005-10-05,0.18455240231435624
2005-10-06,0.18317785783221727
2005-10-07,0.17594011481183022
2005-10-10,0.1700147934739798
2005-10-11,0.16539386082923394
2005-10-12,0.16841880298826495
2005-10-13,0.16220795541526314
2005-10-14,0.161896166724231
2005-10-17,0.15982641834189992
2005-10-18,0.16730925497413462
2005-10-19,0.16180344742928068
2005-10-20,0.1819898612560601
2005-10-21,0.1748300134416285
2005-10-24,0.19371583311644924
2005-10-25,0.18789061072868968
2005-10-26,0.1803530637388786
2005-10-27,0.17980254169504947
2005-10-28,0.17688397892403934
2005-10-31,0.17477804324342344
2005-11-01,0.16823870541584657
2005-11-02,0.1804539874871154
2005-11-03,0.17401864038085116
2005-11-04,0.17606010110186807
2005-11-07,0.1707759163348275
2005-11-08,0.16976485502011304
2005-11-09,0.1671070770494176
2005-11-10,0.16249410204681275
2005-11-11,0.16439116399612239
2005-11-14,0.15996597513221367
2005-11-15,0.1552209833753156
2005-11-16,0.1538331386925457
2005-11-17,0.16971467467487894
2005-11-18,0.164500042553186
2005-11-21,0.15915712236654694
2005-11-22,0.1603460457884759
2005-11-23,0.1555216712873161
2005-11-25,0.1525268200678163
2005-11-28,0.14783209922070378
2005-11-29,0.14395211703896543
2005-11-30,0.1401103255295626
2005-12-01,0.15169573731651131
2005-12-02,0.1468464397934114
2005-12-05,0.14221103248341882
2005-12-06,0.1384756715094749
2005-12-07,0.14609283801747436
2005-12-08,0.15004293105641467
2005-12-09,0.1453089013102776
2005-12-12,0.15755116768846875
2005-12-13,0.15414524786706854
2005-12-14,0.14910657450293732
2005-12-15,0.14459009468148223
2005-12-16,0.1534527512949833
2005-12-19,0.1483371810437289
2005-12-20,0.1487809064362763
2005-12-21,0.14474899958203513
2005-12-22,0.14101997347893666
2005-12-23,0.13839183458571536
2005-12-27,0.13419691531477168
2005-12-28,0.13128898461028632
2005-12-29,0.12779089263323892
2005-12-30,0.13054278746832398
2006-01-03,0.19617571409325876
2006-01-04,0.2012863810594249
2006-01-05,0.19369735981680286
2006-01-06,0.19099005628566113
2006-01-09,0.18548892042383558
2006-01-10,0.18042912846877024
2006-01-11,0.17895886901743652
2006-01-12,0.1776268763447694
2006-01-13,0.17086391427097766
2006-01-17,0.1662755243564127
2006-01-18,0.1657679474446131
2006-01-19,0.16003826667394272
2006-01-20,0.18051451465186946
2006-01-23,0.19610100254715682
2006-01-24,0.1882430843351224
2006-01-25,0.18994603233550314
2006-01-26,0.21431114763352838
2006-01-27,0.20553503351010505
2006-01-30,0.19731112893093486
2006-01-31,0.19063241697046177
2006-02-01,0.18610252335742253
2006-02-02,0.1957400204352702
2006-02-03,0.18894912648646991
2006-02-06,0.181535252774771
2006-02-07,0.17676191444991762
2006-02-08,0.17865177077208053
2006-02-09,0.17280727068037385
2006-02-10,0.166589781199208
2006-02-13,0.1604188729545249
2006-02-14,0.1631840727522144
2006-02-15,0.1597153793471374
2006-02-16,0.15523386524853397
2006-02-17,0.15371322935908935
2006-02-21,0.1506420037041462
2006-02-22,0.15817581408040865
2006-02-23,0.15328847627920372
2006-02-24,0.14801909039039526
2006-02-27,0.14620968121160785
2006-02-28,0.15627477838730086
2006-03-01,0.1638662173847923
2006-03-02,0.15993044738260442
2006-03-03,0.16184121106813307
2006-03-06,0.1563693335663998
2006-03-07,0.16105233931862029
2006-03-08,0.155317591663018
2006-03-09,0.14997571003332508
2006-03-10,0.16063511695765656
2006-03-13,0.1618614518654766
2006-03-14,0.17015332497485908
2006-03-15,0.16896689261509193
2006-03-16,0.1652421895279774
2006-03-17,0.15921806932631735
2006-03-20,0.1544456152825324
2006-03-21,0.15660214481289841
2006-03-22,0.15624148386392137
2006-03-23,0.15763086563233736
2006-03-24,0.15718186269414167
2006-03-27,0.15729168623929238
2006-03-28,0.15539697564624608
2006-03-29,0.1563143774577374
2006-03-30,0.16912878288452263
2006-03-31,0.16312074546175911
2006-04-03,0.16145701223545544
2006-04-04,0.17017390986869874
2006-04-05,0.16476095047067432
2006-04-06,0.16053539049069523
2006-04-07,0.19478338122129416
2006-04-10,0.1904346218522252
2006-04-11,0.19642944382143934
2006-04-12,0.18834854392853692
2006-04-13,0.1808735602568822
2006-04-17,0.18250313531553372
2006-04-18,0.18434603331777985
2006-04-19,0.18977275357648157
2006-04-20,0.18454004443480554
2006-04-21,0.1777355867574077
2006-04-24,0.17412113714308208
2006-04-25,0.1674537870578029
2006-04-26,0.16423189215252926
2006-04-27,0.15832694906427017
2006-04-28,0.15480153952722822
2006-05-01,0.14989247145870938
2006-05-02,0.15770982023957797
2006-05-03,0.1644198272715307
2006-05-04,0.17654436949390373
2006-05-05,0.18867311732199687
2006-05-08,0.18169378085118928
2006-05-09,0.1765278822169461
2006-05-10,0.170388348193179
2006-05-11,0.17844768645180023
2006-05-12,0.19424962702666895
2006-05-15,0.20004298738021287
2006-05-16,0.19222187180443331
2006-05-17,0.28757585642748246
2006-05-18,0.27427897331002243
2006-05-19,0.2631596511625595
2006-05-22,0.26647592161394246
2006-05-23,0.25757576516434927
2006-05-24,0.2465296249946444
2006-05-25,0.25869959335105264
2006-05-26,0.24741845202005447
2006-05-30,0.25679753269842764
2006-05-31,0.25178946205113506
2006-06-01,0.24346806772141602
2006-06-02,0.23310756744473143
2006-06-05,0.2516902095831302
2006-06-06,0.25058482635626605
2006-06-07,0.2450264614281486
2006-06-08,0.2524240432288493
2006-06-09,0.24176281351771203
2006-06-12,0.25061092154972014
2006-06-13,0.2728619189260385
2006-06-14,0.26851330022924375
2006-06-15,0.3090809078542381
2006-06-16,0.2990552102873314
2006-06-19,0.2857678624338293
2006-06-20,0.2797995382412201
2006-06-21,0.2825138849685091
2006-06-22,0.2705513570470494
2006-06-23,0.2582708764069228
2006-06-26,0.24662906398070766
2006-06-27,0.24690861710357542
2006-06-28,0.23581334313392874
2006-06-29,0.30219409656709045
2006-06-30,0.2959763571638789
2006-07-03,0.2904997638553257
2006-07-05,0.30002962653711385
2006-07-06,0.28982460765090323
2006-07-07,0.2787271569115575
2006-07-10,0.2669148268643014
2006-07-11,0.2556469604747923
2006-07-12,0.25803508366111766
2006-07-13,0.2651909116089765
2006-07-14,0.25745520387049864
2006-07-17,0.2574600978792636
2006-07-18,0.2457419964108699
2006-07-19,0.2763937821297722
2006-07-20,0.26499018849761213
2006-07-21,0.25489249969349825
2006-07-24,0.2634835493916081
2006-07-25,0.2514127657856697
2006-07-26,0.243047321318298
2006-07-27,0.232483075513036
2006-07-28,0.2462939999269166
2006-07-31,0.2354097992862659
2006-08-01,0.23043230242307608
2006-08-02,0.2273187400985673
2006-08-03,0.2174938509475613
2006-08-04,0.20819942074847375
2006-08-07,0.20116910200127652
2006-08-08,0.19288324032948015
2006-08-09,0.18505611797506183
2006-08-10,0.1786652411634675
2006-08-11,0.1752979862976184
2006-08-14,0.17221507251109003
2006-08-15,0.20297350861627242
2006-08-16,0.2042633447292979
2006-08-17,0.19618245793138592
2006-08-18,0.1888002277540999
2006-08-21,0.18174959697341833
2006-08-22,0.1778851056159565
2006-08-23,0.17243866387791343
2006-08-24,0.16688525159522036
2006-08-25,0.16080986163789832
2006-08-28,0.16186565540595696
2006-08-29,0.1575328765686706
2006-08-30,0.15219337843677694
2006-08-31,0.1469998199998898
2006-09-01,0.1435448105645063
2006-09-05,0.13964299380921336
2006-09-06,0.1603136675396081
2006-09-07,0.16465813675612875
2006-09-08,0.15863222636021976
2006-09-11,0.15464818951413561
2006-09-12,0.16349679629888778
2006-09-13,0.1578576579073692
2006-09-14,0.15290668448436123
2006-09-15,0.1496035889943821
2006-09-18,0.1454871062328205
2006-09-19,0.14818829710877982
2006-09-20,0.15690400033141283
2006-09-21,0.15150387797016948
2006-09-22,0.14720133355374196
2006-09-25,0.14501807363222008
2006-09-26,0.14045426899884533
2006-09-27,0.13622117676778453
2006-09-28,0.1339575028133923
2006-09-29,0.13045191113969928
2006-10-02,0.12781693972240143
2006-10-03,0.12539445490132328
2006-10-04,0.14269263905331628
2006-10-05,0.1395030851271756
2006-10-06,0.1450961715552826
2006-10-09,0.14150117271598847
2006-10-10,0.13707536890338834
2006-10-11,0.1338520768609886
2006-10-12,0.14325478170029787
2006-10-13,0.14033600977653599
2006-10-16,0.13687604202343082
2006-10-17,0.1368471247779799
2006-10-18,0.13326047546065564
2006-10-19,0.13306829299273362
2006-10-20,0.1333555038234268
2006-10-23,0.12952617897552604
2006-10-24,0.12603314564034337
2006-10-25,0.12699536841948214
2006-10-26,0.13367575172782833
2006-10-27,0.13209258026096696
2006-10-30,0.12847056892533792
2006-10-31,0.12737085270971535
2006-11-01,0.12410959898412373
2006-11-02,0.12150137184410717
2006-11-03,0.12146414730281524
2006-11-06,0.1478791311848971
2006-11-07,0.14603829415601924
2006-11-08,0.1415864434188528
2006-11-09,0.13715323999089485
2006-11-10,0.13712167968632824
2006-11-13,0.1342507608916985
2006-11-14,0.13067027649775598
2006-11-15,0.12734406134563167
2006-11-16,0.12395568579133433
2006-11-17,0.120841254213948
2006-11-20,0.11800153948148305
2006-11-21,0.11998367438947684
2006-11-22,0.12315365037220781
2006-11-24,0.12029941496117093
2006-11-27,0.14737095765448496
2006-11-28,0.1526685515749724
2006-11-29,0.15313323257869274
2006-11-30,0.14787458118283886
2006-12-01,0.14432479745352148
2006-12-04,0.14419814367737194
2006-12-05,0.1488672380344312
2006-12-06,0.14479065439454303
2006-12-07,0.14262151198188863
2006-12-08,0.13902056193239906
2006-12-11,0.1417869418529083
2006-12-12,0.1380541615453877
2006-12-13,0.1364109678874833
2006-12-14,0.13238409708118268
2006-12-15,0.1305875458074008
2006-12-18,0.12738573986125762
2006-12-19,0.12603064627303948
2006-12-20,0.12286600408575188
2006-12-21,0.11987756303829337
2006-12-22,0.12948898439635706
2006-12-26,0.1299814455989777
2006-12-27,0.13583705164644883
2006-12-28,0.13185912255130475
2006-12-29,0.128716203175824
2007-01-03,0.12912834452590183
2007-01-04,0.1266540623904342
2007-01-05,0.14640434747643255
2007-01-08,0.14234527010055514
2007-01-09,0.13952318000963138
2007-01-10,0.14483462003264275
2007-01-11,0.14653468353942695
2007-01-12,0.15022020876033956
2007-01-16,0.14755516026218804
2007-01-17,0.14511782757469877
2007-01-18,0.14291904155849913
2007-01-19,0.15300631869305267
2007-01-22,0.15751168756635173
2007-01-23,0.1559919078670429
2007-01-24,0.1531135990041381
2007-01-25,0.1575706561514548
2007-01-26,0.1520489334392057
2007-01-29,0.14836334924771682
2007-01-30,0.15734807072220494
2007-01-31,0.15604527381500538
2007-02-01,0.1552411377180675
2007-02-02,0.14999535112795997
2007-02-05,0.14639050788900215
2007-02-06,0.14262076104130142
2007-02-07,0.14224781474595666
2007-02-08,0.13776815829501388
2007-02-09,0.13706762900116132
2007-02-12,0.13406605073619496
2007-02-13,0.14120666089105005
2007-02-14,0.15705708121571596
2007-02-15,0.15161689193490283
2007-02-16,0.1464633489989902
2007-02-20,0.14413422868978765
2007-02-21,0.1423570246949549
2007-02-22,0.13834562110887358
2007-02-23,0.13672437251638786
2007-02-26,0.13367225471278624
2007-02-27,0.25462839276090166
2007-02-28,0.24303902649574619
2007-03-01,0.2403894814670559
2007-03-02,0.23447701379879438
2007-03-05,0.24256918105975458
2007-03-06,0.2605142652524042
2007-03-07,0.24880909790439742
2007-03-08,0.24799710804765446
2007-03-09,0.23679514437589297
